
 Mean ionic temperatures Te(ion)

 Total, integrated over all nebular components
 Element      Ion        Te(Element,ion)

           1           1   11469.6094    
           1           2   12622.9238    
           1           3   0.00000000    
           1           4   0.00000000    
           1           5   0.00000000    
           1           6   0.00000000    
           1           7   0.00000000    
           2           1   11404.7959    
           2           2   11944.1309    
           2           3   13567.0908    
           2           4   0.00000000    
           2           5   0.00000000    
           2           6   0.00000000    
           2           7   0.00000000    
           3           1   0.00000000    
           3           2   0.00000000    
           3           3   0.00000000    
           3           4   0.00000000    
           3           5   0.00000000    
           3           6   0.00000000    
           3           7   0.00000000    
           4           1   0.00000000    
           4           2   0.00000000    
           4           3   0.00000000    
           4           4   0.00000000    
           4           5   0.00000000    
           4           6   0.00000000    
           4           7   0.00000000    
           5           1   0.00000000    
           5           2   0.00000000    
           5           3   0.00000000    
           5           4   0.00000000    
           5           5   0.00000000    
           5           6   0.00000000    
           5           7   0.00000000    
           6           1   11289.2891    
           6           2   11695.6289    
           6           3   12405.1025    
           6           4   14752.6396    
           6           5   16353.9053    
           6           6   16380.9795    
           6           7   12550.0010    
           7           1   11169.9727    
           7           2   11661.1035    
           7           3   12697.1826    
           7           4   14580.3818    
           7           5   15836.1309    
           7           6   17367.8633    
           7           7   17475.4258    
           8           1   11283.2314    
           8           2   11738.6172    
           8           3   12744.3086    
           8           4   14735.8506    
           8           5   15797.1406    
           8           6   17559.4922    
           8           7   19805.8867    
           9           1   0.00000000    
           9           2   0.00000000    
           9           3   0.00000000    
           9           4   0.00000000    
           9           5   0.00000000    
           9           6   0.00000000    
           9           7   0.00000000    
          10           1   11196.1162    
          10           2   11631.1230    
          10           3   12214.8584    
          10           4   14650.5635    
          10           5   16165.8789    
          10           6   18438.7559    
          10           7   20487.4980    
          11           1   0.00000000    
          11           2   0.00000000    
          11           3   0.00000000    
          11           4   0.00000000    
          11           5   0.00000000    
          11           6   0.00000000    
          11           7   0.00000000    
          12           1   0.00000000    
          12           2   0.00000000    
          12           3   0.00000000    
          12           4   0.00000000    
          12           5   0.00000000    
          12           6   0.00000000    
          12           7   0.00000000    
          13           1   0.00000000    
          13           2   0.00000000    
          13           3   0.00000000    
          13           4   0.00000000    
          13           5   0.00000000    
          13           6   0.00000000    
          13           7   0.00000000    
          14           1   0.00000000    
          14           2   0.00000000    
          14           3   0.00000000    
          14           4   0.00000000    
          14           5   0.00000000    
          14           6   0.00000000    
          14           7   0.00000000    
          15           1   0.00000000    
          15           2   0.00000000    
          15           3   0.00000000    
          15           4   0.00000000    
          15           5   0.00000000    
          15           6   0.00000000    
          15           7   0.00000000    
          16           1   11238.8965    
          16           2   11556.7793    
          16           3   12133.0020    
          16           4   13958.0039    
          16           5   15204.2705    
          16           6   15884.0010    
          16           7   17281.1895    
          17           1   0.00000000    
          17           2   0.00000000    
          17           3   0.00000000    
          17           4   0.00000000    
          17           5   0.00000000    
          17           6   0.00000000    
          17           7   0.00000000    
          18           1   10928.1523    
          18           2   11373.4492    
          18           3   11893.8135    
          18           4   13065.3105    
          18           5   14712.6572    
          18           6   15333.2129    
          18           7   16391.9043    
          19           1   0.00000000    
          19           2   0.00000000    
          19           3   0.00000000    
          19           4   0.00000000    
          19           5   0.00000000    
          19           6   0.00000000    
          19           7   0.00000000    
          20           1   0.00000000    
          20           2   0.00000000    
          20           3   0.00000000    
          20           4   0.00000000    
          20           5   0.00000000    
          20           6   0.00000000    
          20           7   0.00000000    
          21           1   0.00000000    
          21           2   0.00000000    
          21           3   0.00000000    
          21           4   0.00000000    
          21           5   0.00000000    
          21           6   0.00000000    
          21           7   0.00000000    
          22           1   0.00000000    
          22           2   0.00000000    
          22           3   0.00000000    
          22           4   0.00000000    
          22           5   0.00000000    
          22           6   0.00000000    
          22           7   0.00000000    
          23           1   0.00000000    
          23           2   0.00000000    
          23           3   0.00000000    
          23           4   0.00000000    
          23           5   0.00000000    
          23           6   0.00000000    
          23           7   0.00000000    
          24           1   0.00000000    
          24           2   0.00000000    
          24           3   0.00000000    
          24           4   0.00000000    
          24           5   0.00000000    
          24           6   0.00000000    
          24           7   0.00000000    
          25           1   0.00000000    
          25           2   0.00000000    
          25           3   0.00000000    
          25           4   0.00000000    
          25           5   0.00000000    
          25           6   0.00000000    
          25           7   0.00000000    
          26           1   0.00000000    
          26           2   0.00000000    
          26           3   0.00000000    
          26           4   0.00000000    
          26           5   0.00000000    
          26           6   0.00000000    
          26           7   0.00000000    
          27           1   0.00000000    
          27           2   0.00000000    
          27           3   0.00000000    
          27           4   0.00000000    
          27           5   0.00000000    
          27           6   0.00000000    
          27           7   0.00000000    
          28           1   0.00000000    
          28           2   0.00000000    
          28           3   0.00000000    
          28           4   0.00000000    
          28           5   0.00000000    
          28           6   0.00000000    
          28           7   0.00000000    
          29           1   0.00000000    
          29           2   0.00000000    
          29           3   0.00000000    
          29           4   0.00000000    
          29           5   0.00000000    
          29           6   0.00000000    
          29           7   0.00000000    
          30           1   0.00000000    
          30           2   0.00000000    
          30           3   0.00000000    
          30           4   0.00000000    
          30           5   0.00000000    
          30           6   0.00000000    
          30           7   0.00000000    

 Mean ionic temperatures Te(ion)

 Component :            1

 Element      Ion        Te(Element,ion)

           1           1   11469.6094    
           1           2   12622.9238    
           1           3   0.00000000    
           1           4   0.00000000    
           1           5   0.00000000    
           1           6   0.00000000    
           1           7   0.00000000    
           2           1   11404.7959    
           2           2   11944.1309    
           2           3   13567.0908    
           2           4   0.00000000    
           2           5   0.00000000    
           2           6   0.00000000    
           2           7   0.00000000    
           3           1   0.00000000    
           3           2   0.00000000    
           3           3   0.00000000    
           3           4   0.00000000    
           3           5   0.00000000    
           3           6   0.00000000    
           3           7   0.00000000    
